"","file","word","n","total","tf","idf","tf_idf","class"
"1","response_1","and",1,8,0.125,0.644357016390513,0.0805446270488142,"not_flagged"
"2","response_1","avoid",1,8,0.125,4.38202663467388,0.547753329334235,"not_flagged"
"3","response_1","conflict",1,8,0.125,4.38202663467388,0.547753329334235,"not_flagged"
"4","response_1","i",1,8,0.125,0.470003629245736,0.058750453655717,"not_flagged"
"5","response_1","of",1,8,0.125,0.980829253011726,0.122603656626466,"not_flagged"
"6","response_1","sort",1,8,0.125,4.38202663467388,0.547753329334235,"not_flagged"
"7","response_1","this",1,8,0.125,2.99573227355399,0.374466534194249,"not_flagged"
"8","response_1","try",1,8,0.125,2.30258509299405,0.287823136624256,"not_flagged"
"9","response_10","a",1,41,0.024390243902439,0.826678573184468,0.0201628920288895,"flagged"
"10","response_10","always",1,41,0.024390243902439,2.43611648561857,0.0594174752589895,"flagged"
"11","response_10","and",1,41,0.024390243902439,0.644357016390513,0.0157160247900125,"flagged"
"12","response_10","boyfriend",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"13","response_10","bring",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"14","response_10","comforted",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"15","response_10","cutting",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"16","response_10","focus",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"17","response_10","found",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"18","response_10","her",2,41,0.0487804878048781,1.54881329061767,0.0755518678350081,"flagged"
"19","response_10","himself",1,41,0.024390243902439,3.28341434600577,0.0800832767318481,"flagged"
"20","response_10","house",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"21","response_10","i",2,41,0.0487804878048781,0.470003629245736,0.02292700630467,"flagged"
"22","response_10","in",1,41,0.024390243902439,1.49165487677772,0.0363818262628711,"flagged"
"23","response_10","listen",1,41,0.024390243902439,2.59026716544583,0.0631772479377031,"flagged"
"24","response_10","lost",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"25","response_10","my",2,41,0.0487804878048781,0.948039430188735,0.0462458258628651,"flagged"
"26","response_10","night",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"27","response_10","on",1,41,0.024390243902439,2.30258509299405,0.056160612024245,"flagged"
"28","response_10","our",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"29","response_10","out",1,41,0.024390243902439,2.43611648561857,0.0594174752589895,"flagged"
"30","response_10","parents",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"31","response_10","part",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"32","response_10","same",1,41,0.024390243902439,2.59026716544583,0.0631772479377031,"flagged"
"33","response_10","she",3,41,0.0731707317073171,1.98413136187551,0.145180343551867,"flagged"
"34","response_10","simply",1,41,0.024390243902439,3.28341434600577,0.0800832767318481,"flagged"
"35","response_10","sister",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"36","response_10","supportive",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"37","response_10","the",1,41,0.024390243902439,1.16315080980568,0.02836953194648,"flagged"
"38","response_10","then",1,41,0.024390243902439,3.68887945411394,0.089972669612535,"flagged"
"39","response_10","threw",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"40","response_10","virgity",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"41","response_10","walked",1,41,0.024390243902439,4.38202663467388,0.10687869840668,"flagged"
"42","response_10","was",1,41,0.024390243902439,1.01473080468741,0.0247495318216441,"flagged"
"43","response_10","when",1,41,0.024390243902439,1.67397643357167,0.0408286935017481,"flagged"
"44","response_10","will",1,41,0.024390243902439,3.28341434600577,0.0800832767318481,"flagged"
"45","response_11","a",5,60,0.0833333333333333,0.826678573184468,0.0688898810987057,"not_flagged"
"46","response_11","activity",1,60,0.0166666666666667,4.38202663467388,0.0730337772445647,"not_flagged"
"47","response_11","and",5,60,0.0833333333333333,0.644357016390513,0.0536964180325428,"not_flagged"
"48","response_11","around",1,60,0.0166666666666667,3.68887945411394,0.0614813242352323,"not_flagged"
"49","response_11","away",1,60,0.0166666666666667,3.68887945411394,0.0614813242352323,"not_flagged"
"50","response_11","being",2,60,0.0333333333333333,2.43611648561857,0.0812038828539523,"not_flagged"
"51","response_11","big",1,60,0.0166666666666667,3.68887945411394,0.0614813242352323,"not_flagged"
